# Du+24 N-body gamma=1, R_p/R_a=1/5: M_bound at apocenters vs orbit number k = t/T_r
# sigma is the relative error on M_bound/M0
# orbit,mbound_over_m0,sigma_rel
0.0,1.000000e+00,4.151379e-04
1.0,2.786815e-01,6.287884e-04
2.0,1.770719e-01,7.568399e-04
3.0,1.324565e-01,8.583245e-04
4.0,1.068549e-01,9.447689e-04
5.0,8.951304e-02,1.024119e-03
6.0,7.720533e-02,1.096486e-03
7.0,6.773217e-02,1.165497e-03
8.0,6.041085e-02,1.229864e-03
9.0,5.444652e-02,1.291828e-03
10.0,4.958009e-02,1.350615e-03
