# Drakos+2020 (arXiv:2003.09452) Fig. 8 orbit S5: bound mass vs time
# digitized from the vector simulation circles; M/Msat anchored to 1 at t=0
t_over_torb,mbound_over_msat,sigma_rel
0.0000,1.0000,2.000000e-02
0.1000,1.0000,2.000000e-02
0.2000,1.0000,2.000000e-02
0.3000,1.0000,2.000000e-02
0.4000,1.0000,2.000000e-02
0.5000,1.0000,2.000000e-02
0.6000,0.9905,2.000000e-02
0.7000,0.9895,2.000000e-02
0.8000,0.9891,2.000000e-02
0.9000,0.9889,2.000000e-02
1.0000,0.9888,2.000000e-02
1.1000,0.9887,2.000000e-02
1.2000,0.9887,2.000000e-02
1.3000,0.9887,2.000000e-02
1.4000,0.9886,2.000000e-02
1.5000,0.9842,2.000000e-02
1.6000,0.9594,2.000000e-02
1.7000,0.9577,2.000000e-02
1.8000,0.9571,2.000000e-02
1.9000,0.9569,2.000000e-02
2.0000,0.9567,2.000000e-02
2.1000,0.9566,2.000000e-02
2.2000,0.9566,2.000000e-02
2.3000,0.9565,2.000000e-02
2.4000,0.9564,2.000000e-02
2.5000,0.9521,2.000000e-02
2.6000,0.9275,2.000000e-02
2.7000,0.9258,2.000000e-02
2.8000,0.9253,2.000000e-02
2.9000,0.9250,2.000000e-02
3.0000,0.9249,2.000000e-02
3.1000,0.9247,2.000000e-02
3.2000,0.9248,2.000000e-02
3.3000,0.9245,2.000000e-02
3.4000,0.9244,2.000000e-02
3.5000,0.9216,2.000000e-02
3.6000,0.8988,2.000000e-02
3.7000,0.8971,2.000000e-02
3.8000,0.8967,2.000000e-02
3.9000,0.8963,2.000000e-02
4.0000,0.8963,2.000000e-02
4.1000,0.8961,2.000000e-02
4.2000,0.8961,2.000000e-02
4.3000,0.8959,2.000000e-02
4.4000,0.8957,2.000000e-02
4.5000,0.8937,2.000000e-02
4.6000,0.8735,2.000000e-02
4.7000,0.8720,2.000000e-02
4.8000,0.8717,2.000000e-02
4.9000,0.8713,2.000000e-02
5.0000,0.8713,2.000000e-02
