# Drakos+2020 (arXiv:2003.09452) Fig. 8 orbit S1: bound mass vs time
# digitized from the vector simulation circles; M/Msat anchored to 1 at t=0
t_over_torb,mbound_over_msat,sigma_rel
0.0000,1.0000,2.000000e-02
0.1000,1.0000,2.000000e-02
0.2000,1.0000,2.000000e-02
0.3000,1.0000,2.000000e-02
0.4000,1.0000,2.000000e-02
0.5000,0.8230,2.000000e-02
0.6000,0.6855,2.000000e-02
0.7000,0.6419,2.000000e-02
0.8000,0.6172,2.000000e-02
0.9000,0.6012,2.000000e-02
1.0000,0.5894,2.000000e-02
1.1000,0.5804,2.000000e-02
1.2000,0.5731,2.000000e-02
1.3000,0.5649,2.000000e-02
1.4000,0.5457,2.000000e-02
1.5000,0.4162,2.000000e-02
1.6000,0.3956,2.000000e-02
1.7000,0.3832,2.000000e-02
1.8000,0.3749,2.000000e-02
1.9000,0.3687,2.000000e-02
2.0000,0.3671,2.000000e-02
2.1000,0.3590,2.000000e-02
2.2000,0.3545,2.000000e-02
2.3000,0.3470,2.000000e-02
2.4000,0.2820,2.000000e-02
2.5000,0.2702,2.000000e-02
2.6000,0.2631,2.000000e-02
2.7000,0.2585,2.000000e-02
2.8000,0.2553,2.000000e-02
2.9000,0.2530,2.000000e-02
3.0000,0.2501,2.000000e-02
3.1000,0.2476,2.000000e-02
3.2000,0.2434,2.000000e-02
3.3000,0.2059,2.000000e-02
3.4000,0.1982,2.000000e-02
3.5000,0.1942,2.000000e-02
3.6000,0.1917,2.000000e-02
3.7000,0.1900,2.000000e-02
3.8000,0.1887,2.000000e-02
3.9000,0.1867,2.000000e-02
4.0000,0.1852,2.000000e-02
4.1000,0.1817,2.000000e-02
4.2000,0.1571,2.000000e-02
4.3000,0.1524,2.000000e-02
4.4000,0.1501,2.000000e-02
4.5000,0.1485,2.000000e-02
4.6000,0.1485,2.000000e-02
4.7000,0.1467,2.000000e-02
4.8000,0.1451,2.000000e-02
4.9000,0.1440,2.000000e-02
5.0000,0.1365,2.000000e-02
