# Drakos+2020 (arXiv:2003.09452) Fig. 8 orbit S3: bound mass vs time
# digitized from the vector simulation circles; M/Msat anchored to 1 at t=0
t_over_torb,mbound_over_msat,sigma_rel
0.0000,1.0000,2.000000e-02
0.1000,1.0000,2.000000e-02
0.2000,1.0000,2.000000e-02
0.3000,1.0000,2.000000e-02
0.4000,0.9962,2.000000e-02
0.5000,0.7084,2.000000e-02
0.6000,0.5880,2.000000e-02
0.7000,0.5549,2.000000e-02
0.8000,0.5253,2.000000e-02
0.9000,0.5027,2.000000e-02
1.0000,0.4854,2.000000e-02
1.1000,0.4717,2.000000e-02
1.2000,0.4602,2.000000e-02
1.3000,0.4503,2.000000e-02
1.4000,0.4324,2.000000e-02
1.5000,0.3119,2.000000e-02
1.6000,0.2964,2.000000e-02
1.7000,0.2837,2.000000e-02
1.8000,0.2745,2.000000e-02
1.9000,0.2673,2.000000e-02
2.0000,0.2614,2.000000e-02
2.1000,0.2560,2.000000e-02
2.2000,0.2519,2.000000e-02
2.3000,0.2478,2.000000e-02
2.4000,0.2341,2.000000e-02
2.5000,0.1885,2.000000e-02
2.6000,0.1796,2.000000e-02
2.7000,0.1744,2.000000e-02
2.8000,0.1705,2.000000e-02
2.9000,0.1674,2.000000e-02
3.0000,0.1649,2.000000e-02
3.1000,0.1626,2.000000e-02
3.2000,0.1608,2.000000e-02
3.3000,0.1579,2.000000e-02
3.4000,0.1305,2.000000e-02
3.5000,0.1248,2.000000e-02
3.6000,0.1210,2.000000e-02
3.7000,0.1186,2.000000e-02
3.8000,0.1167,2.000000e-02
3.9000,0.1149,2.000000e-02
4.0000,0.1137,2.000000e-02
4.1000,0.1125,2.000000e-02
4.2000,0.1113,2.000000e-02
4.3000,0.1042,2.000000e-02
4.4000,0.0914,2.000000e-02
4.5000,0.0884,2.000000e-02
4.6000,0.0867,2.000000e-02
4.7000,0.0855,2.000000e-02
4.8000,0.0843,2.000000e-02
4.9000,0.0836,2.000000e-02
5.0000,0.0827,2.000000e-02
