# Drakos+2020 (arXiv:2003.09452) Fig. 8 orbit S6: bound mass vs time
# digitized from the vector simulation circles; M/Msat anchored to 1 at t=0
t_over_torb,mbound_over_msat,sigma_rel
0.0000,1.0000,2.000000e-02
0.1000,0.9982,2.000000e-02
0.2000,0.9281,2.000000e-02
0.3000,0.8033,2.000000e-02
0.4000,0.6880,2.000000e-02
0.5000,0.5244,2.000000e-02
0.6000,0.4250,2.000000e-02
0.7000,0.3882,2.000000e-02
0.8000,0.3611,2.000000e-02
0.9000,0.3344,2.000000e-02
1.0000,0.3086,2.000000e-02
1.1000,0.2819,2.000000e-02
1.2000,0.2553,2.000000e-02
1.3000,0.2314,2.000000e-02
1.4000,0.2050,2.000000e-02
1.5000,0.1774,2.000000e-02
1.6000,0.1608,2.000000e-02
1.7000,0.1517,2.000000e-02
1.8000,0.1451,2.000000e-02
1.9000,0.1391,2.000000e-02
2.0000,0.1323,2.000000e-02
2.1000,0.1245,2.000000e-02
2.2000,0.1167,2.000000e-02
2.3000,0.1092,2.000000e-02
2.4000,0.1000,2.000000e-02
2.5000,0.0903,2.000000e-02
2.6000,0.0852,2.000000e-02
2.7000,0.0815,2.000000e-02
2.8000,0.0784,2.000000e-02
2.9000,0.0759,2.000000e-02
3.0000,0.0730,2.000000e-02
3.1000,0.0699,2.000000e-02
3.2000,0.0666,2.000000e-02
3.3000,0.0632,2.000000e-02
3.4000,0.0582,2.000000e-02
3.5000,0.0547,2.000000e-02
3.6000,0.0525,2.000000e-02
3.7000,0.0507,2.000000e-02
3.8000,0.0492,2.000000e-02
3.9000,0.0477,2.000000e-02
4.0000,0.0463,2.000000e-02
4.1000,0.0447,2.000000e-02
4.2000,0.0430,2.000000e-02
4.3000,0.0407,2.000000e-02
4.4000,0.0380,2.000000e-02
4.5000,0.0364,2.000000e-02
4.6000,0.0353,2.000000e-02
4.7000,0.0342,2.000000e-02
4.8000,0.0333,2.000000e-02
4.9000,0.0325,2.000000e-02
5.0000,0.0317,2.000000e-02
