# Drakos+2020 (arXiv:2003.09452) Fig. 8 orbit S7: bound mass vs time
# digitized from the vector simulation circles; M/Msat anchored to 1 at t=0
t_over_torb,mbound_over_msat,sigma_rel
0.0000,1.0000,2.000000e-02
0.1000,1.0000,2.000000e-02
0.2000,1.0000,2.000000e-02
0.3000,1.0000,2.000000e-02
0.4000,1.0000,2.000000e-02
0.5000,0.8045,2.000000e-02
0.6000,0.5988,2.000000e-02
0.7000,0.5546,2.000000e-02
0.8000,0.5282,2.000000e-02
0.9000,0.5103,2.000000e-02
1.0000,0.4974,2.000000e-02
1.1000,0.4871,2.000000e-02
1.2000,0.4793,2.000000e-02
1.3000,0.4679,2.000000e-02
1.4000,0.3150,2.000000e-02
1.5000,0.2958,2.000000e-02
1.6000,0.2828,2.000000e-02
1.7000,0.2741,2.000000e-02
1.8000,0.2680,2.000000e-02
1.9000,0.2623,2.000000e-02
2.0000,0.2576,2.000000e-02
2.1000,0.2532,2.000000e-02
2.2000,0.1884,2.000000e-02
2.3000,0.1768,2.000000e-02
2.4000,0.1703,2.000000e-02
2.5000,0.1690,2.000000e-02
2.6000,0.1633,2.000000e-02
2.7000,0.1601,2.000000e-02
2.8000,0.1580,2.000000e-02
2.9000,0.1547,2.000000e-02
3.0000,0.1194,2.000000e-02
3.1000,0.1134,2.000000e-02
3.2000,0.1105,2.000000e-02
3.3000,0.1083,2.000000e-02
3.4000,0.1074,2.000000e-02
3.5000,0.1055,2.000000e-02
3.6000,0.1040,2.000000e-02
3.7000,0.0835,2.000000e-02
3.8000,0.0790,2.000000e-02
3.9000,0.0767,2.000000e-02
4.0000,0.0759,2.000000e-02
4.1000,0.0749,2.000000e-02
4.2000,0.0732,2.000000e-02
4.3000,0.0724,2.000000e-02
4.4000,0.0687,2.000000e-02
4.5000,0.0569,2.000000e-02
4.6000,0.0551,2.000000e-02
4.7000,0.0550,2.000000e-02
4.8000,0.0534,2.000000e-02
4.9000,0.0527,2.000000e-02
5.0000,0.0521,2.000000e-02
