# Drakos+2020 (arXiv:2003.09452) Fig. 8 orbit S8: bound mass vs time
# digitized from the vector simulation circles; M/Msat anchored to 1 at t=0
t_over_torb,mbound_over_msat,sigma_rel
0.0000,1.0000,2.000000e-02
0.1000,1.0000,2.000000e-02
0.2000,1.0000,2.000000e-02
0.3000,1.0000,2.000000e-02
0.4000,1.0000,2.000000e-02
0.5000,0.9293,2.000000e-02
0.6000,0.8129,2.000000e-02
0.7000,0.7780,2.000000e-02
0.8000,0.7617,2.000000e-02
0.9000,0.7516,2.000000e-02
1.0000,0.7442,2.000000e-02
1.1000,0.7385,2.000000e-02
1.2000,0.7334,2.000000e-02
1.3000,0.7281,2.000000e-02
1.4000,0.7123,2.000000e-02
1.5000,0.6193,2.000000e-02
1.6000,0.5924,2.000000e-02
1.7000,0.5795,2.000000e-02
1.8000,0.5718,2.000000e-02
1.9000,0.5669,2.000000e-02
2.0000,0.5679,2.000000e-02
2.1000,0.5594,2.000000e-02
2.2000,0.5561,2.000000e-02
2.3000,0.5485,2.000000e-02
2.4000,0.5076,2.000000e-02
2.5000,0.4750,2.000000e-02
2.6000,0.4656,2.000000e-02
2.7000,0.4602,2.000000e-02
2.8000,0.4567,2.000000e-02
2.9000,0.4557,2.000000e-02
3.0000,0.4514,2.000000e-02
3.1000,0.4486,2.000000e-02
3.2000,0.4442,2.000000e-02
3.3000,0.4218,2.000000e-02
3.4000,0.3968,2.000000e-02
3.5000,0.3904,2.000000e-02
3.6000,0.3875,2.000000e-02
3.7000,0.3853,2.000000e-02
3.8000,0.3843,2.000000e-02
3.9000,0.3811,2.000000e-02
4.0000,0.3787,2.000000e-02
4.1000,0.3754,2.000000e-02
4.2000,0.3547,2.000000e-02
4.3000,0.3415,2.000000e-02
4.4000,0.3373,2.000000e-02
4.5000,0.3355,2.000000e-02
4.6000,0.3350,2.000000e-02
4.7000,0.3338,2.000000e-02
4.8000,0.3316,2.000000e-02
4.9000,0.3294,2.000000e-02
5.0000,0.3266,2.000000e-02
