# Drakos+2020 (arXiv:2003.09452) Fig. 8 orbit S4: bound mass vs time
# digitized from the vector simulation circles; M/Msat anchored to 1 at t=0
t_over_torb,mbound_over_msat,sigma_rel
0.0000,1.0000,2.000000e-02
0.1000,1.0000,2.000000e-02
0.2000,1.0000,2.000000e-02
0.3000,0.9998,2.000000e-02
0.4000,0.9927,2.000000e-02
0.5000,0.9608,2.000000e-02
0.6000,0.9152,2.000000e-02
0.7000,0.8851,2.000000e-02
0.8000,0.8662,2.000000e-02
0.9000,0.8534,2.000000e-02
1.0000,0.8445,2.000000e-02
1.1000,0.8377,2.000000e-02
1.2000,0.8319,2.000000e-02
1.3000,0.8240,2.000000e-02
1.4000,0.8094,2.000000e-02
1.5000,0.7846,2.000000e-02
1.6000,0.7601,2.000000e-02
1.7000,0.7439,2.000000e-02
1.8000,0.7337,2.000000e-02
1.9000,0.7269,2.000000e-02
2.0000,0.7220,2.000000e-02
2.1000,0.7184,2.000000e-02
2.2000,0.7149,2.000000e-02
2.3000,0.7100,2.000000e-02
2.4000,0.7019,2.000000e-02
2.5000,0.6882,2.000000e-02
2.6000,0.6745,2.000000e-02
2.7000,0.6644,2.000000e-02
2.8000,0.6587,2.000000e-02
2.9000,0.6539,2.000000e-02
3.0000,0.6511,2.000000e-02
3.1000,0.6491,2.000000e-02
3.2000,0.6465,2.000000e-02
3.3000,0.6432,2.000000e-02
3.4000,0.6376,2.000000e-02
3.5000,0.6286,2.000000e-02
3.6000,0.6195,2.000000e-02
3.7000,0.6124,2.000000e-02
3.8000,0.6086,2.000000e-02
3.9000,0.6050,2.000000e-02
4.0000,0.6032,2.000000e-02
4.1000,0.6018,2.000000e-02
4.2000,0.6000,2.000000e-02
4.3000,0.5976,2.000000e-02
4.4000,0.5932,2.000000e-02
4.5000,0.5868,2.000000e-02
4.6000,0.5804,2.000000e-02
4.7000,0.5745,2.000000e-02
4.8000,0.5716,2.000000e-02
4.9000,0.5691,2.000000e-02
5.0000,0.5678,2.000000e-02
