# Drakos+2020 (arXiv:2003.09452) Fig. 8 orbit S2: bound mass vs time
# digitized from the vector simulation circles; M/Msat anchored to 1 at t=0
t_over_torb,mbound_over_msat,sigma_rel
0.0000,1.0000,2.000000e-02
0.1000,1.0000,2.000000e-02
0.2000,1.0000,2.000000e-02
0.3000,1.0000,2.000000e-02
0.4000,1.0000,2.000000e-02
0.5000,0.9947,2.000000e-02
0.6000,0.9794,2.000000e-02
0.7000,0.9680,2.000000e-02
0.8000,0.9613,2.000000e-02
0.9000,0.9573,2.000000e-02
1.0000,0.9546,2.000000e-02
1.1000,0.9528,2.000000e-02
1.2000,0.9504,2.000000e-02
1.3000,0.9470,2.000000e-02
1.4000,0.9415,2.000000e-02
1.5000,0.9317,2.000000e-02
1.6000,0.9181,2.000000e-02
1.7000,0.9105,2.000000e-02
1.8000,0.9023,2.000000e-02
1.9000,0.8983,2.000000e-02
2.0000,0.8960,2.000000e-02
2.1000,0.8944,2.000000e-02
2.2000,0.8924,2.000000e-02
2.3000,0.8897,2.000000e-02
2.4000,0.8855,2.000000e-02
2.5000,0.8785,2.000000e-02
2.6000,0.8682,2.000000e-02
2.7000,0.8619,2.000000e-02
2.8000,0.8558,2.000000e-02
2.9000,0.8528,2.000000e-02
3.0000,0.8509,2.000000e-02
3.1000,0.8499,2.000000e-02
3.2000,0.8484,2.000000e-02
3.3000,0.8460,2.000000e-02
3.4000,0.8426,2.000000e-02
3.5000,0.8364,2.000000e-02
3.6000,0.8283,2.000000e-02
3.7000,0.8232,2.000000e-02
3.8000,0.8186,2.000000e-02
3.9000,0.8167,2.000000e-02
4.0000,0.8162,2.000000e-02
4.1000,0.8148,2.000000e-02
4.2000,0.8131,2.000000e-02
4.3000,0.8116,2.000000e-02
4.4000,0.8090,2.000000e-02
4.5000,0.8042,2.000000e-02
4.6000,0.7981,2.000000e-02
4.7000,0.7929,2.000000e-02
4.8000,0.7894,2.000000e-02
4.9000,0.7878,2.000000e-02
5.0000,0.7873,2.000000e-02
