# Drakos+2020 (arXiv:2003.09452) Fig. 8 orbit S10: bound mass vs time
# digitized from the vector simulation circles; M/Msat anchored to 1 at t=0
t_over_torb,mbound_over_msat,sigma_rel
0.0000,1.0000,2.000000e-02
0.1000,1.0000,2.000000e-02
0.2000,0.9996,2.000000e-02
0.3000,0.9937,2.000000e-02
0.4000,0.9713,2.000000e-02
0.5000,0.8959,2.000000e-02
0.6000,0.8095,2.000000e-02
0.7000,0.7592,2.000000e-02
0.8000,0.7282,2.000000e-02
0.9000,0.7100,2.000000e-02
1.0000,0.6921,2.000000e-02
1.1000,0.6804,2.000000e-02
1.2000,0.6678,2.000000e-02
1.3000,0.6381,2.000000e-02
1.4000,0.5881,2.000000e-02
1.5000,0.5536,2.000000e-02
1.6000,0.5352,2.000000e-02
1.7000,0.5188,2.000000e-02
1.8000,0.5175,2.000000e-02
1.9000,0.4988,2.000000e-02
2.0000,0.4873,2.000000e-02
2.1000,0.4641,2.000000e-02
2.2000,0.4328,2.000000e-02
2.3000,0.4180,2.000000e-02
2.4000,0.4157,2.000000e-02
2.5000,0.4032,2.000000e-02
2.6000,0.3951,2.000000e-02
2.7000,0.3873,2.000000e-02
2.8000,0.3672,2.000000e-02
2.9000,0.3451,2.000000e-02
3.0000,0.3392,2.000000e-02
3.1000,0.3334,2.000000e-02
3.2000,0.3308,2.000000e-02
3.3000,0.3263,2.000000e-02
3.4000,0.3171,2.000000e-02
3.5000,0.2949,2.000000e-02
3.6000,0.2846,2.000000e-02
3.7000,0.2798,2.000000e-02
3.8000,0.2771,2.000000e-02
3.9000,0.2738,2.000000e-02
4.0000,0.2619,2.000000e-02
4.1000,0.2448,2.000000e-02
4.2000,0.2398,2.000000e-02
4.3000,0.2374,2.000000e-02
4.4000,0.2337,2.000000e-02
4.5000,0.2253,2.000000e-02
4.6000,0.2107,2.000000e-02
4.7000,0.2027,2.000000e-02
4.8000,0.2010,2.000000e-02
4.9000,0.1973,2.000000e-02
5.0000,0.1892,2.000000e-02
